index,omit_player,upper_slope,lower_slope,lower_minus_upper,change_vs_full
142,00-0034799,0.1385716642978189,-0.5134736831597239,-0.6520453474575427,0.0022370902177202
143,00-0027966,0.1363743827440006,-0.515710773377444,-0.6520851561214447,0.0021972815538182
144,00-0030456,0.1363990272420628,-0.515710773377444,-0.6521098006195069,0.002172637055756
145,00-0031075,0.1407276001973948,-0.515710773377444,-0.6564383735748388,-0.0021559358995758
146,00-0028011,0.1364227018806601,-0.515710773377444,-0.6521334752581041,0.0021489624171588
147,00-0031599,0.1385716642978189,-0.5178345980806591,-0.6564062623784781,-0.0021238247032151
148,00-0034253,0.1364484003845102,-0.515710773377444,-0.6521591737619542,0.0021232639133087
149,00-0032794,0.1385716642978189,-0.5135966093597609,-0.6521682736575798,0.0021141640176831
150,00-0036223,0.1364689797602336,-0.515710773377444,-0.6521797531376776,0.0021026845375853
151,00-0037258,0.1385716642978189,-0.5178016114440492,-0.6563732757418681,-0.0020908380666051
152,00-0033308,0.1364885567235835,-0.515710773377444,-0.6521993301010276,0.0020831075742353
153,00-0029795,0.13994640383091,-0.5122867320506587,-0.6522331358815687,0.0020493017936942
154,00-0035806,0.1365653633628398,-0.515710773377444,-0.6522761367402838,0.0020063009349791
155,00-0029731,0.1385716642978189,-0.5176962902230953,-0.6562679545209142,-0.0019855168456512
156,00-0034681,0.140529787829516,-0.515710773377444,-0.65624056120696,-0.0019581235316969
157,00-0030107,0.1405201443217374,-0.515710773377444,-0.6562309176991814,-0.0019484800239184
158,00-0036973,0.1366439619207159,-0.515710773377444,-0.6523547352981599,0.001927702377103
159,00-0030433,0.1385716642978189,-0.517627920087647,-0.656199584385466,-0.001917146710203
160,00-0030578,0.140464256241759,-0.515710773377444,-0.656175029619203,-0.00189259194394
161,00-0035685,0.1404459564938509,-0.515710773377444,-0.6561567298712949,-0.0018742921960319
162,00-0031277,0.1385716642978189,-0.5175457464537843,-0.6561174107516032,-0.0018349730763402
163,00-0036906,0.1385682492768703,-0.5139052276279005,-0.6524734769047708,0.0018089607704921
164,00-0029141,0.1403799720928121,-0.515710773377444,-0.6560907454702561,-0.0018083077949931
165,00-0034972,0.1368174466412489,-0.515710773377444,-0.6525282200186928,0.0017542176565701
166,00-0034109,0.1352320340856157,-0.5207901168521507,-0.6560221509377664,-0.0017397132625034
167,00-0031209,0.1385716642978189,-0.5174303081153877,-0.6560019724132067,-0.0017195347379437
168,00-0035664,0.1369107062999777,-0.515710773377444,-0.6526214796774217,0.0016609579978412
169,00-0036555,0.1369261961415787,-0.515710773377444,-0.6526369695190227,0.0016454681562402
170,00-0030496,0.1369641893846606,-0.515710773377444,-0.6526749627621046,0.0016074749131583
171,00-0037248,0.1370229007132336,-0.515710773377444,-0.6527336740906775,0.0015487635845854
172,00-0037525,0.1370380765846318,-0.515710773377444,-0.6527488499620758,0.0015335877131871
173,00-0034614,0.1400964193355993,-0.515710773377444,-0.6558071927130433,-0.0015247550377803
174,00-0037256,0.1370811696971193,-0.515710773377444,-0.6527919430745632,0.0014904946006997
175,00-0031376,0.1370929791385763,-0.515710773377444,-0.6528037525160203,0.0014786851592426
176,00-0037746,0.1400481912429425,-0.515710773377444,-0.6557589646203865,-0.0014765269451235
177,00-0030404,0.1371226421874107,-0.515710773377444,-0.6528334155648546,0.0014490221104083
178,00-0035261,0.1400075938344614,-0.515710773377444,-0.6557183672119055,-0.0014359295366425
179,00-0031731,0.1385716642978189,-0.5143078672303318,-0.6528795315281508,0.0014029061471121
180,00-0028064,0.1371781079365698,-0.515710773377444,-0.6528888813140138,0.0013935563612491
181,00-0035099,0.1385716642978189,-0.514321162658137,-0.652892826955956,0.0013896107193069
182,00-0034578,0.1385716642978189,-0.5143318704918824,-0.6529035347897014,0.0013789028855615
183,00-0028074,0.1385716642978189,-0.5170780735687752,-0.6556497378665942,-0.0013673001913312
184,00-0036919,0.1399210797517774,-0.515710773377444,-0.6556318531292215,-0.0013494154539585
185,00-0030874,0.1398932900132834,-0.515710773377444,-0.6556040633907274,-0.0013216257154644
