index,position,horizon,career_stage,origin,n,current,alternative,crps_gain_current_vs_alt,mae_gain_current_vs_alt,current_crps,alternative_crps,current_mae,alternative_mae,active_n,p_active_mean,actual_active_rate,conditional_active_retention_bias
85,RB,2,veteran,2022,8,D1,D0,1.595522068194507,-3.6454903504394327,10.160502779614934,11.756024847809442,20.39057063250769,16.74508028206826,2,0.3696248432972803,0.25,0.1441897124886801
86,RB,2,veteran,2023,7,D1,D0,1.5722731584337184,-1.3788699361216927,5.74384088692442,7.316114045358138,12.70067764210556,11.321807705983868,1,0.3071131509607195,0.1428571428571428,-0.6672259722551895
87,RB,3,developmental,2014,104,D1,D0,6.22144343443875,0.5230183580765304,23.614660311494337,29.836103745933087,37.08165041741748,37.60466877549401,52,0.5613412388262945,0.5,0.2483193862897673
88,RB,3,developmental,2015,115,D1,D0,4.599103724887941,0.2624364752362804,20.800757234505618,25.39986095939356,33.28233234059587,33.54476881583216,52,0.5214990726265561,0.4521739130434782,0.5677563530376971
89,RB,3,developmental,2016,110,D1,D0,4.907557356543702,0.0655255515386684,20.51224442124824,25.419801777791942,33.410177591688495,33.475703143227165,53,0.5121305217923074,0.4818181818181818,-2.595139510771124
90,RB,3,developmental,2017,108,D1,D0,6.158242432514207,0.4272865572368209,24.52357206866009,30.681814501174312,37.05755040829048,37.4848369655273,57,0.5220554827011908,0.5277777777777778,0.8633226810249496
91,RB,3,developmental,2018,111,D1,D0,5.659649361840429,-0.0559698416739442,23.74904385422485,29.4086932160653,36.48257419651578,36.42660435484184,70,0.5292035599144821,0.6306306306306306,-0.3720731693149919
92,RB,3,developmental,2019,112,D1,D0,5.624763809080973,0.1814210513421224,24.07887446580707,29.70363827488804,37.4093419204707,37.59076297181282,66,0.526857027149431,0.5892857142857143,1.4271808869781242
93,RB,3,developmental,2020,113,D1,D0,5.24234762120713,0.2768799911305898,23.433562921402288,28.675910542609422,36.59656464906433,36.87344464019492,64,0.5273328986695192,0.5663716814159292,0.7270716166548554
94,RB,3,developmental,2021,112,D1,D0,6.248016533626505,0.690928459034,17.35748523815346,23.60550177177996,29.87394530560856,30.564873764642563,47,0.4719702652148082,0.4196428571428571,1.3862671696934332
95,RB,3,developmental,2022,101,D1,D0,5.336901695664166,0.4336107273389429,26.035220380082052,31.372122075746237,38.64063463215359,39.07424535949254,58,0.5184743360517525,0.5742574257425742,-1.4754402859567932
96,RB,3,established,2014,54,D1,D0,3.1010892957122933,-0.4683074603319002,11.63729764468156,14.738386940393854,22.382708999445214,21.914401539113317,13,0.3518055330446574,0.2407407407407407,0.0496242699338855
97,RB,3,established,2015,49,D1,D0,1.030195327206633,-1.0617349666782443,13.765181121294356,14.795376448500988,23.550705122949157,22.48897015627091,15,0.3465863856739711,0.3061224489795918,-0.0059570618271641
98,RB,3,established,2016,54,D1,D0,3.256686797385388,-0.097076352500951,8.329327280044101,11.586014077429487,18.51017558485591,18.41309923235496,11,0.3018613112062044,0.2037037037037037,0.9059108530778254
99,RB,3,established,2017,43,D1,D0,2.059204146394086,-1.270232770465496,13.834113281826962,15.893317428221048,24.791926517320537,23.52169374685505,16,0.398656342249518,0.3720930232558139,0.5255095884014289
100,RB,3,established,2018,45,D1,D0,0.999864207838584,-0.293608793906928,16.970017373052393,17.969881580890977,24.630963624474084,24.33735483056716,13,0.3120082651074502,0.2888888888888888,-0.4946795108552381
101,RB,3,established,2019,43,D1,D0,2.672180342021129,0.077020592327694,15.263888646570134,17.936068988591266,23.51197552771888,23.58899612004658,19,0.3315324908567191,0.4418604651162791,0.3781318835189197
